City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fort Nelson,CA,58.8053,-122.7002,93.15,25,0,3.04,clear sky
1,Tiksi,RU,71.6872,128.8694,51.28,65,31,6.22,scattered clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,42,5.01,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,81,75,11.5,broken clouds
4,Lompoc,US,34.6391,-120.4579,85.57,65,1,12.66,clear sky
5,Tasiilaq,GL,65.6145,-37.6368,44.76,77,100,3.83,overcast clouds
6,Kaitangata,NZ,-46.2817,169.8464,52.93,70,100,1.57,overcast clouds
7,Nyurba,RU,63.2842,118.3319,76.17,47,100,9.19,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,41.11,87,40,13.8,scattered clouds
9,Jamestown,US,42.097,-79.2353,62.29,91,90,1.01,overcast clouds
10,Xining,CN,36.6167,101.7667,67.03,54,71,2.8,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,69.13,57,5,19.44,clear sky
12,Robertsport,LR,6.7533,-11.3686,77.58,79,100,12.35,overcast clouds
13,Vilhena,BR,-12.7406,-60.1458,67.1,42,0,2.93,clear sky
14,El Retorno,CO,2.3302,-72.6276,70.09,88,99,3.83,overcast clouds
15,Albany,US,42.6001,-73.9662,65.08,93,100,1.3,light rain
16,New Norfolk,AU,-42.7826,147.0587,51.89,77,93,1.01,overcast clouds
17,Port Elizabeth,ZA,-33.918,25.5701,60.1,85,84,14.18,moderate rain
18,Pevek,RU,69.7008,170.3133,34.63,92,100,16.02,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,49.91,88,100,11.95,overcast clouds
20,Svetlogorsk,BY,52.6333,29.7333,65.48,92,100,6.62,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,55.27,90,100,3.51,light rain
22,Urucara,BR,-2.5364,-57.76,76.77,77,100,3.6,overcast clouds
23,Avarua,CK,-21.2078,-159.775,71.65,88,75,17.27,light rain
24,Udachnyy,RU,66.4167,112.4,76.53,33,22,9.98,few clouds
25,Ovalle,CL,-30.5983,-71.2003,65.8,41,0,1.79,clear sky
26,Xichang,CN,27.8964,102.2634,69.35,69,0,2.91,clear sky
27,Carnarvon,AU,-24.8667,113.6333,57.92,56,0,20.51,clear sky
28,Jalu,LY,29.0331,21.5482,83.44,36,0,9.06,clear sky
29,Port Alfred,ZA,-33.5906,26.891,60.84,82,75,21.85,broken clouds
30,Yulara,AU,-25.2406,130.9889,57.04,41,0,12.66,clear sky
31,Cape Town,ZA,-33.9258,18.4232,57.11,88,28,1.01,scattered clouds
32,Dikson,RU,73.5069,80.5464,42.12,99,100,10.09,overcast clouds
33,Kaseda,JP,31.4167,130.3167,84.09,71,100,9.73,overcast clouds
34,Dumas,US,35.8656,-101.9732,72.82,56,40,8.05,scattered clouds
35,Hithadhoo,MV,-0.6,73.0833,81.32,72,85,6.42,overcast clouds
36,Muncar,ID,-8.4333,114.3333,78.87,79,97,4.14,overcast clouds
37,Atuona,PF,-9.8,-139.0333,77.04,70,34,10.8,scattered clouds
38,Chuy,UY,-33.6971,-53.4616,50.59,93,74,6.2,broken clouds
39,Barrow,US,71.2906,-156.7887,48.22,75,90,13.8,haze
40,Samsun,TR,41.25,36.3333,66.96,94,40,2.3,scattered clouds
41,Sambava,MG,-14.2667,50.1667,67.95,86,90,10.16,overcast clouds
42,Cherskiy,RU,68.75,161.3,42.1,68,84,21.77,broken clouds
43,Busselton,AU,-33.65,115.3333,47.05,68,100,7.72,overcast clouds
44,Marienburg,PL,54.0359,19.0266,61.88,92,100,5.35,overcast clouds
45,Nikolskoye,RU,59.7035,30.7861,61.02,83,100,5.44,light rain
46,Salekhard,RU,66.53,66.6019,56.21,94,96,5.37,overcast clouds
47,Bluff,NZ,-46.6,168.3333,45.81,80,100,7.2,overcast clouds
48,Shenjiamen,CN,29.9576,122.298,80.64,89,99,11.21,overcast clouds
49,Namibe,AO,-15.1961,12.1522,67.15,87,15,1.83,few clouds
50,Rafai,CF,4.95,23.9167,67.17,97,100,1.86,overcast clouds
51,Antofagasta,CL,-23.65,-70.4,58.28,77,25,2.57,scattered clouds
52,Bambous Virieux,MU,-20.3428,57.7575,66.22,69,7,12.26,clear sky
53,Tromso,NO,69.6496,18.957,47.05,81,90,1.99,overcast clouds
54,Ust-Karsk,RU,52.7011,118.8077,67.64,57,0,5.35,clear sky
55,Vadso,NO,70.0744,29.7487,56.28,97,100,1.23,overcast clouds
56,Geraldton,AU,-28.7667,114.6,51.13,87,40,11.5,scattered clouds
57,Saskylakh,RU,71.9167,114.0833,78.46,37,5,6.29,clear sky
58,Hobart,AU,-42.8794,147.3294,52.23,68,20,3.0,few clouds
59,Airai,TL,-8.9266,125.4092,70.92,54,37,4.07,scattered clouds
60,Mana,GF,5.6592,-53.7767,79.39,82,98,7.54,overcast clouds
61,Hofn,IS,64.2539,-15.2082,53.51,92,98,2.68,overcast clouds
62,Andenes,NO,69.3143,16.1194,46.38,93,90,14.97,overcast clouds
63,Victoria,HK,22.2855,114.1577,86.97,88,100,1.01,light rain
64,Kodiak,US,57.79,-152.4072,56.93,92,97,5.73,overcast clouds
65,Caravelas,BR,-17.7125,-39.2481,68.02,67,48,7.78,scattered clouds
66,Manbij,SY,36.5281,37.9549,84.97,39,1,12.21,clear sky
67,Porto Novo,BJ,6.4965,2.6036,74.55,90,13,5.3,few clouds
68,Plyussa,RU,58.4308,29.3654,57.56,84,100,1.97,overcast clouds
69,Guisijan,PH,11.0932,122.0461,82.76,82,99,10.2,overcast clouds
70,Altay,CN,47.8667,88.1167,68.45,39,0,2.04,clear sky
71,Pisco,PE,-13.7,-76.2167,62.65,82,90,11.5,overcast clouds
72,Kruisfontein,ZA,-34.0033,24.7314,56.88,81,84,12.62,light rain
73,Nome,US,64.5011,-165.4064,55.17,100,90,9.22,moderate rain
74,Oranjemund,NA,-28.55,16.4333,55.56,76,0,7.34,clear sky
75,Suntar,RU,62.1444,117.6319,73.22,43,100,8.93,overcast clouds
76,Boende,CD,-0.2167,20.8667,71.92,77,100,1.97,overcast clouds
77,Qaanaaq,GL,77.484,-69.3632,42.01,84,74,2.15,broken clouds
78,Cockburn Town,TC,21.4612,-71.1419,82.15,81,99,20.51,overcast clouds
79,Iralaya,HN,15.0,-83.2333,80.4,86,11,10.63,few clouds
80,Souillac,MU,-20.5167,57.5167,66.36,74,0,11.86,clear sky
81,Bud,US,39.447,-86.1758,71.69,81,0,7.92,clear sky
82,Ribeira Grande,PT,38.5167,-28.7,72.82,95,16,13.67,few clouds
83,Port Macquarie,AU,-31.4333,152.9167,61.97,69,100,4.74,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,50.9,74,100,1.77,overcast clouds
85,Waipawa,NZ,-41.4122,175.5153,55.09,60,0,4.81,clear sky
86,Mataura,NZ,-46.1927,168.8643,45.48,83,100,2.1,overcast clouds
87,Kolyvan,RU,55.3053,82.7391,64.06,81,98,4.45,overcast clouds
88,Onega,RU,63.9061,38.1404,56.89,94,100,5.79,overcast clouds
89,Saint George,US,37.1041,-113.5841,97.63,26,1,5.99,clear sky
90,Kabanjahe,ID,3.1001,98.4908,63.36,83,98,3.44,overcast clouds
91,Zhigansk,RU,66.7697,123.3711,72.55,48,2,15.32,clear sky
92,Uni,RU,57.7535,51.4923,60.04,78,90,6.82,moderate rain
93,Kaifeng,CN,34.7911,114.3483,80.35,68,6,13.8,light rain
94,Esperance,AU,-33.8667,121.9,54.21,67,100,19.6,overcast clouds
95,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,48.88,89,0,5.12,clear sky
96,Kapaa,US,22.0752,-159.319,85.98,75,75,5.01,broken clouds
97,Qesarya,IL,32.5189,34.9046,77.31,76,0,1.77,clear sky
98,Yerbogachen,RU,61.2767,108.0108,66.0,58,100,6.33,overcast clouds
99,Ancud,CL,-41.8697,-73.8203,47.73,86,100,3.36,overcast clouds
100,Rio Gallegos,AR,-51.6226,-69.2181,44.65,49,0,18.41,clear sky
101,Saint-Philippe,RE,-21.3585,55.7679,67.55,72,43,7.29,scattered clouds
102,Butaritari,KI,3.0707,172.7902,83.25,68,73,9.19,broken clouds
103,Dawlatabad,AF,36.4141,64.9053,78.24,19,2,6.71,clear sky
104,Upernavik,GL,72.7868,-56.1549,42.69,79,5,9.69,clear sky
105,Tall Kayf,TR,37.0833,41.0667,91.74,24,4,7.63,clear sky
106,Atar,MR,20.5169,-13.0499,88.25,44,99,11.77,overcast clouds
107,Mahebourg,MU,-20.4081,57.7,66.25,69,4,12.55,clear sky
108,Zhangjiakou,CN,40.81,114.8794,69.28,58,11,2.75,few clouds
109,Tiarei,PF,-17.5333,-149.3333,82.42,64,3,8.66,clear sky
110,Vylkove,UA,45.4021,29.586,74.25,88,0,9.84,light rain
111,Ramsar,IR,36.9226,50.6426,77.95,83,76,0.83,broken clouds
112,Porto Torres,IT,40.835,8.3972,69.1,61,87,9.35,overcast clouds
113,Vaini,TO,-21.2,-175.2,75.36,73,20,16.11,light rain
114,Mariakani,KE,-3.8633,39.4736,65.48,97,28,5.93,scattered clouds
115,Fortuna,US,40.5982,-124.1573,69.93,72,20,3.0,few clouds
116,Takhli,TH,15.2634,100.3438,79.83,74,100,9.84,overcast clouds
117,Chapleau,CA,47.8405,-83.4034,55.27,88,53,4.23,broken clouds
118,Tadine,NC,-21.55,167.8833,71.4,54,32,13.33,scattered clouds
119,Chokurdakh,RU,70.6333,147.9167,45.09,57,73,7.54,broken clouds
120,Bani,DO,18.2833,-70.3333,82.85,85,93,8.79,overcast clouds
121,Adrar,MR,20.5022,-10.0711,91.18,31,16,5.21,few clouds
122,Arraial Do Cabo,BR,-22.9661,-42.0278,66.36,74,7,13.73,clear sky
123,Yellowknife,CA,62.456,-114.3525,88.29,32,0,3.0,clear sky
124,Berezovyy,RU,51.6667,135.7,69.01,65,100,3.09,light rain
125,Bethel,US,41.3712,-73.414,70.54,90,90,3.44,light rain
126,Beisfjord,NO,68.3751,17.5988,48.04,96,100,4.85,light rain
127,Laviana,ES,43.2333,-5.5333,61.41,95,13,2.55,few clouds
128,Kaeo,NZ,-35.1,173.7833,59.41,67,47,10.25,scattered clouds
129,Lodwar,KE,3.1191,35.5973,79.14,47,99,14.14,overcast clouds
130,Guiuan,PH,11.0333,125.7247,85.05,69,100,17.07,light rain
131,Ami,JP,36.0333,140.2,90.95,67,15,5.61,few clouds
132,Bagdarin,RU,54.4333,113.6,54.37,84,100,2.82,overcast clouds
133,Kirkenes,NO,69.7271,30.0458,56.35,94,75,4.61,light rain
134,Egvekinot,RU,66.3167,-179.1667,44.44,59,95,1.28,overcast clouds
135,Lagoa,PT,39.05,-27.9833,71.83,95,100,14.88,overcast clouds
136,Coahuayana,MX,18.7333,-103.6833,89.08,81,47,3.74,scattered clouds
137,Mizdah,LY,31.4451,12.9801,82.04,19,0,6.62,clear sky
138,Isangel,VU,-19.55,169.2667,72.07,58,44,9.82,scattered clouds
139,Jinchang,CN,38.4953,102.1739,74.71,40,80,19.42,broken clouds
140,Naze,JP,28.3667,129.4833,80.26,86,64,17.02,broken clouds
141,Hilo,US,19.7297,-155.09,82.13,69,90,10.36,overcast clouds
142,Svetlaya,RU,46.5389,138.3297,66.13,80,100,10.78,overcast clouds
143,Senno,RU,59.5336,33.9167,51.26,94,100,4.94,overcast clouds
144,Yantal,RU,56.8471,105.2542,68.0,43,0,4.72,clear sky
145,Xai-Xai,MZ,-25.0519,33.6442,60.22,60,0,7.45,clear sky
146,Awjilah,LY,29.1081,21.2869,82.29,38,0,7.76,clear sky
147,Muros,ES,42.7762,-9.0603,63.23,90,93,7.45,overcast clouds
148,Talcahuano,CL,-36.7167,-73.1167,49.68,87,0,8.05,clear sky
149,Bubaque,GW,11.2833,-15.8333,79.9,81,94,20.92,light rain
150,Fairbanks,US,64.8378,-147.7164,79.14,55,75,0.0,broken clouds
151,Alamosa,US,37.4695,-105.87,67.98,56,20,8.05,few clouds
152,Hasaki,JP,35.7333,140.8333,88.29,80,20,10.04,few clouds
153,Torbay,CA,47.6666,-52.7314,61.27,87,62,5.01,broken clouds
154,Hermanus,ZA,-34.4187,19.2345,55.8,86,97,5.35,overcast clouds
155,Khatanga,RU,71.9667,102.5,67.28,59,100,8.14,overcast clouds
156,Margate,GB,51.3813,1.3862,58.71,85,87,1.99,overcast clouds
157,Nouadhibou,MR,20.931,-17.0347,69.73,86,0,17.29,clear sky
158,Palamos,ES,41.8484,3.1291,70.68,100,91,2.39,overcast clouds
159,Vestmannaeyjar,IS,63.4427,-20.2734,53.8,90,92,4.83,overcast clouds
160,Hearst,CA,49.6835,-83.6665,59.45,74,100,5.19,overcast clouds
161,Thompson,CA,55.7435,-97.8558,77.49,35,99,4.12,overcast clouds
162,Beringovskiy,RU,63.05,179.3167,45.72,79,96,21.34,overcast clouds
163,Provideniya,RU,64.3833,-173.3,44.71,76,90,22.37,light rain
164,Dakar,SN,14.6937,-17.4441,81.48,80,36,4.76,scattered clouds
165,Camocim,BR,-2.9022,-40.8411,77.29,63,25,8.57,scattered clouds
166,Vanimo,PG,-2.6741,141.3028,85.51,64,12,4.68,few clouds
167,Healdsburg,US,38.6105,-122.8692,90.99,52,20,1.01,few clouds
168,Vostok,RU,46.4856,135.8833,78.82,56,94,2.04,overcast clouds
169,Trelew,AR,-43.249,-65.3051,56.86,32,84,8.05,broken clouds
170,Cidreira,BR,-30.1811,-50.2056,55.8,94,4,4.45,clear sky
171,Mar Del Plata,AR,-38.0023,-57.5575,45.09,1,0,1.01,clear sky
172,Farah,AF,32.5,62.5,75.56,17,0,5.93,clear sky
173,Karratha,AU,-20.7377,116.8463,66.18,42,0,21.23,clear sky
174,Solton,RU,52.8429,86.4787,63.19,69,82,3.58,broken clouds
175,Thunder Bay,CA,48.4001,-89.3168,70.99,69,89,4.23,overcast clouds
176,La Huaca,PE,-4.9117,-80.96,68.13,72,0,13.06,clear sky
177,Asau,RO,46.4333,26.4,75.96,61,24,5.39,light rain
178,Puerto Leguizamo,CO,-0.1934,-74.7819,69.19,87,100,2.53,overcast clouds
179,Gonbad-E Qabus,IR,37.25,55.1672,78.06,75,83,1.66,broken clouds
180,Labuhan,ID,-6.8844,112.2051,80.24,70,28,7.87,scattered clouds
181,East London,ZA,-33.0153,27.9116,62.13,67,77,19.35,broken clouds
182,Bara,NG,10.3744,10.7288,72.3,96,100,3.44,light rain
183,Castro,BR,-24.7911,-50.0119,45.86,91,19,2.95,few clouds
184,San Cristobal,VE,7.7669,-72.225,75.38,98,100,5.86,overcast clouds
185,Sosnovo-Ozerskoye,RU,52.5249,111.5418,62.65,68,13,5.37,few clouds
186,Calvinia,ZA,-31.4707,19.776,48.58,33,9,0.11,clear sky
187,Port Lincoln,AU,-34.7333,135.8667,51.37,88,100,17.25,light rain
188,Eschwege,DE,51.1833,10.0667,60.04,85,99,3.27,overcast clouds
189,Antalaha,MG,-14.9003,50.2788,65.79,89,15,6.51,few clouds
190,Lebu,CL,-37.6167,-73.65,49.82,80,5,19.19,clear sky
191,Marzuq,YE,14.4,46.4667,80.06,60,44,4.36,scattered clouds
192,Nangong,CN,37.3581,115.3744,79.56,70,12,8.93,few clouds
193,Axim,GH,4.8699,-2.2405,75.38,90,11,4.7,few clouds
194,Nhulunbuy,AU,-12.2333,136.7667,84.81,65,90,13.8,overcast clouds
195,Verkhoyansk,RU,67.5447,133.385,67.93,31,0,3.2,clear sky
196,Salalah,OM,17.0151,54.0924,77.09,94,90,2.3,overcast clouds
197,Awbari,LY,26.5921,12.7805,85.87,12,0,6.24,clear sky
198,Acapulco,MX,16.8634,-99.8901,85.82,74,40,6.91,scattered clouds
199,Bendigo,AU,-36.7667,144.2833,53.85,57,5,3.0,clear sky
200,Newport Beach,US,33.6189,-117.9289,100.42,57,20,8.01,few clouds
201,Norman Wells,CA,65.282,-126.8329,90.23,22,3,8.08,clear sky
202,Kang,BW,-23.6752,22.7876,49.69,32,0,6.02,clear sky
203,Narsaq,GL,60.9167,-46.05,59.22,74,100,6.76,overcast clouds
204,Kavaratti,IN,10.5669,72.642,82.06,75,93,16.4,overcast clouds
205,Ponta Do Sol,PT,32.6667,-17.1,72.23,85,2,4.03,clear sky
206,Kalat,PK,29.0225,66.5916,69.13,17,78,0.85,broken clouds
207,Ust-Maya,RU,60.4167,134.5333,75.31,44,88,9.46,overcast clouds
208,Broome,US,42.2506,-75.833,62.2,97,90,1.01,overcast clouds
209,Sur,OM,22.5667,59.5289,89.82,56,100,4.61,overcast clouds
210,Palafrugell,ES,41.9174,3.1631,66.34,100,92,2.1,overcast clouds
211,Ormara,PK,25.2088,64.6357,81.45,87,85,14.79,overcast clouds
212,Sitka,US,57.0531,-135.33,62.49,72,75,4.61,broken clouds
213,Surovikino,RU,48.6078,42.8486,75.54,47,0,4.94,clear sky
214,Tashtagol,RU,52.7657,87.8894,62.53,68,59,3.02,broken clouds
215,Araceli,PH,10.5529,119.9913,84.06,77,39,12.24,scattered clouds
216,Sept-Iles,CA,50.2001,-66.3821,60.06,85,95,1.99,overcast clouds
217,Tarko-Sale,RU,64.9225,77.785,59.94,65,85,10.56,overcast clouds
218,Ilulissat,GL,69.2167,-51.1,59.02,36,0,25.32,clear sky
219,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,61.43,30,100,3.29,overcast clouds
220,Portalegre,PT,39.2938,-7.4312,63.91,98,100,3.8,overcast clouds
221,Akyab,MM,20.15,92.9,79.68,88,100,4.72,overcast clouds
222,Ewa Beach,US,21.3156,-158.0072,87.75,49,20,16.11,few clouds
223,Nanortalik,GL,60.1432,-45.2371,47.25,81,100,8.55,light rain
224,Saurimo,AO,-9.6608,20.3916,57.49,39,26,5.84,scattered clouds
225,Surt,LY,31.2089,16.5887,82.0,70,0,6.96,clear sky
226,Carauari,BR,-4.8828,-66.8958,74.8,61,89,2.77,overcast clouds
227,Barranca,PE,-10.75,-77.7667,63.14,84,91,8.66,overcast clouds
228,Georgetown,MY,5.4112,100.3354,80.53,81,20,3.44,few clouds
229,Alofi,NU,-19.0595,-169.9187,76.19,69,50,25.84,scattered clouds
230,Siddipet,IN,18.1,78.85,72.55,85,100,15.79,overcast clouds
231,Viedma,AR,-40.8135,-62.9967,51.21,50,0,16.75,clear sky
232,Constitucion,CL,-35.3333,-72.4167,53.22,65,0,6.71,clear sky
233,Vallenar,CL,-28.5708,-70.7581,69.55,26,0,1.28,clear sky
234,Gushikawa,JP,26.3544,127.8686,85.59,86,75,13.8,broken clouds
235,Santa Cruz,BO,-17.8,-63.1667,65.66,32,20,8.05,smoke
236,Shanhetun,CN,44.7,127.2,72.12,99,100,3.65,light rain
